epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,892.964,0.8072,0.75662,1.16292,0.42545,0.47237,0.40647,0.15525,2.67772,1.94567,3.21093,0.000781033,0.000781033,0.000781033
92,902.596,0.84242,0.79838,1.19348,0.4021,0.33852,0.36135,0.13919,2.76491,1.93353,3.24827,0.000777367,0.000777367,0.000777367
93,912.364,0.82486,0.77363,1.16984,0.49403,0.47535,0.49717,0.17319,2.80596,1.82617,3.39889,0.0007737,0.0007737,0.0007737
94,922.052,0.81381,0.76425,1.16307,0.53289,0.47359,0.49166,0.17799,2.71126,1.91637,3.30605,0.000770034,0.000770034,0.000770034
95,931.75,0.79594,0.75317,1.15253,0.51929,0.44304,0.46166,0.17926,2.70189,1.80072,3.27176,0.000766368,0.000766368,0.000766368
96,941.624,0.78311,0.73365,1.16034,0.34858,0.50273,0.43174,0.15616,2.76534,1.84763,3.39045,0.000762702,0.000762702,0.000762702
97,951.348,0.79995,0.75102,1.15332,0.41714,0.444,0.43141,0.16883,2.66524,1.85915,3.20989,0.000759035,0.000759035,0.000759035
98,961.077,0.79318,0.7285,1.15853,0.3601,0.54527,0.41816,0.16071,2.69967,1.92988,3.27621,0.000755369,0.000755369,0.000755369
99,970.838,0.79043,0.74202,1.1525,0.42511,0.49316,0.42281,0.16524,2.67908,1.86098,3.27328,0.000751703,0.000751703,0.000751703
100,980.603,0.78488,0.73951,1.14684,0.36754,0.50503,0.41715,0.14653,2.75335,1.79568,3.22753,0.000748036,0.000748036,0.000748036
101,990.334,0.78849,0.74859,1.1505,0.3372,0.50454,0.40756,0.16556,2.79006,1.71223,3.37831,0.00074437,0.00074437,0.00074437
102,1000.09,0.78883,0.73035,1.16558,0.46212,0.4306,0.43102,0.17743,2.67256,1.81695,3.35736,0.000740704,0.000740704,0.000740704
103,1009.86,0.77732,0.70884,1.14787,0.47236,0.47447,0.41368,0.17241,2.64933,1.84428,3.18833,0.000737037,0.000737037,0.000737037
104,1019.61,0.74338,0.72699,1.12783,0.4812,0.52529,0.48276,0.20037,2.53168,1.98951,3.03935,0.000733371,0.000733371,0.000733371
105,1029.33,0.77076,0.73005,1.13777,0.5047,0.4499,0.46707,0.19344,2.67505,1.82021,3.22549,0.000729705,0.000729705,0.000729705
106,1039.15,0.7588,0.70339,1.1245,0.42935,0.484,0.45667,0.18268,2.69936,1.80576,3.23889,0.000726038,0.000726038,0.000726038
107,1048.84,0.77405,0.69476,1.13529,0.38439,0.48584,0.41868,0.1683,2.68423,1.85704,3.17698,0.000722372,0.000722372,0.000722372
108,1058.59,0.77344,0.71345,1.14265,0.50219,0.41156,0.48687,0.1985,2.72234,1.8044,3.28215,0.000718706,0.000718706,0.000718706
109,1068.38,0.7347,0.68795,1.12851,0.51103,0.49781,0.49317,0.20042,2.72636,1.84952,3.34905,0.00071504,0.00071504,0.00071504
110,1078.14,0.7742,0.70622,1.15405,0.41489,0.50162,0.4906,0.20952,2.74566,1.76134,3.3052,0.000711373,0.000711373,0.000711373
111,1087.84,0.79593,0.73693,1.15337,0.46255,0.46521,0.46824,0.18769,2.68581,1.88541,3.31691,0.000707707,0.000707707,0.000707707
112,1097.61,0.74569,0.69926,1.12376,0.48853,0.4855,0.46819,0.16244,2.71791,1.78243,3.27635,0.000704041,0.000704041,0.000704041
113,1107.4,0.75354,0.70318,1.12824,0.49668,0.54657,0.50073,0.17228,2.6787,1.9654,3.23896,0.000700374,0.000700374,0.000700374
114,1117.13,0.74816,0.71211,1.13797,0.4969,0.60383,0.48122,0.18281,2.71552,1.81725,3.36062,0.000696708,0.000696708,0.000696708
115,1126.84,0.72468,0.68886,1.11361,0.57807,0.44543,0.51608,0.20103,2.74534,1.87622,3.38971,0.000693042,0.000693042,0.000693042
116,1136.67,0.71859,0.70178,1.11178,0.40447,0.51721,0.39881,0.15709,2.72002,1.89429,3.3643,0.000689376,0.000689376,0.000689376
117,1146.43,0.73038,0.71529,1.11957,0.49008,0.50775,0.45442,0.19127,2.65517,1.75296,3.15015,0.000685709,0.000685709,0.000685709
118,1156.15,0.70714,0.68984,1.11599,0.43935,0.4723,0.45123,0.18182,2.73573,1.81778,3.2271,0.000682043,0.000682043,0.000682043
119,1165.93,0.7676,0.72451,1.15438,0.3667,0.45479,0.36595,0.14579,2.78438,1.90586,3.41408,0.000678377,0.000678377,0.000678377
120,1175.64,0.72512,0.70155,1.11925,0.38524,0.56197,0.49568,0.17009,2.72606,1.76837,3.29565,0.00067471,0.00067471,0.00067471
121,1185.29,0.71114,0.68742,1.1081,0.47868,0.45267,0.42146,0.15328,2.71913,1.87661,3.34521,0.000671044,0.000671044,0.000671044
122,1195.15,0.7073,0.65824,1.10856,0.36552,0.48245,0.38164,0.14628,2.73016,1.86904,3.32656,0.000667378,0.000667378,0.000667378
123,1204.86,0.71674,0.69714,1.1141,0.46356,0.41428,0.39784,0.16374,2.70632,1.89508,3.21874,0.000663711,0.000663711,0.000663711
124,1214.56,0.70841,0.6723,1.10954,0.41735,0.49718,0.44723,0.17152,2.78594,1.875,3.30208,0.000660045,0.000660045,0.000660045
